#    rho [fm-3]      T [MeV]         mu [MeV]        E/A [MeV]        S_1/A           F/A [MeV]     P [MeV fm-3]
  0.10000000E-01  0.00000000E+00  0.42737590E+01  0.25087242E+01  0.00000000E+00  0.25087242E+01  0.17650347E-01
  0.15000000E-01  0.00000000E+00  0.53582801E+01  0.35367341E+01  0.00000000E+00  0.35367341E+01  0.27323189E-01
  0.20000000E-01  0.00000000E+00  0.60879971E+01  0.42698546E+01  0.00000000E+00  0.42698546E+01  0.36362852E-01
  0.30000000E-01  0.00000000E+00  0.79670145E+01  0.49348308E+01  0.00000000E+00  0.49348308E+01  0.90965514E-01
  0.32000000E-01  0.00000000E+00  0.83283411E+01  0.56088532E+01  0.00000000E+00  0.56088532E+01  0.87023611E-01
  0.40000000E-01  0.00000000E+00  0.95715885E+01  0.58961997E+01  0.00000000E+00  0.58961997E+01  0.14701555E+00
  0.60000000E-01  0.00000000E+00  0.12356439E+02  0.72937461E+01  0.00000000E+00  0.72937461E+01  0.30376157E+00
  0.64000000E-01  0.00000000E+00  0.12928223E+02  0.82540299E+01  0.00000000E+00  0.82540299E+01  0.29914836E+00
  0.80000000E-01  0.00000000E+00  0.15455832E+02  0.89670334E+01  0.00000000E+00  0.89670334E+01  0.51910390E+00
  0.96000000E-01  0.00000000E+00  0.18129853E+02  0.10239001E+02  0.00000000E+00  0.10239001E+02  0.75752182E+00
  0.10000000E+00  0.00000000E+00  0.19123871E+02  0.10531601E+02  0.00000000E+00  0.10531601E+02  0.85922700E+00
  0.12000000E+00  0.00000000E+00  0.23320545E+02  0.11359904E+02  0.00000000E+00  0.11359904E+02  0.14352770E+01
  0.12800000E+00  0.00000000E+00  0.25032316E+02  0.13102998E+02  0.00000000E+00  0.13102998E+02  0.15269526E+01
  0.14000000E+00  0.00000000E+00  0.27902356E+02  0.13663117E+02  0.00000000E+00  0.13663117E+02  0.19934935E+01
  0.16000000E+00  0.00000000E+00  0.32816378E+02  0.14779873E+02  0.00000000E+00  0.14779873E+02  0.28858408E+01
  0.18000000E+00  0.00000000E+00  0.39281034E+02  0.17606202E+02  0.00000000E+00  0.17606202E+02  0.39014697E+01
  0.20000000E+00  0.00000000E+00  0.46593462E+02  0.19979610E+02  0.00000000E+00  0.19979610E+02  0.53227705E+01
  0.24000000E+00  0.00000000E+00  0.61205726E+02  0.24550382E+02  0.00000000E+00  0.24550382E+02  0.87972828E+01
  0.28000000E+00  0.00000000E+00  0.77496254E+02  0.30803410E+02  0.00000000E+00  0.30803410E+02  0.13073996E+02
  0.32000000E+00  0.00000000E+00  0.94918693E+02  0.36732724E+02  0.00000000E+00  0.36732724E+02  0.18619510E+02
  0.36000000E+00  0.00000000E+00  0.11346746E+03  0.42254296E+02  0.00000000E+00  0.42254296E+02  0.25636738E+02
