#    rho [fm-3]      T [MeV]       E_TOT/A [MeV]   E_KIN/A [MeV]   E_POT/A [MeV]
  0.30000000E-01  0.00000000E+00 -0.61554390E+01  0.12270185E+02 -0.18425624E+02  0.22012863E+00  0.36262631E+00
  0.32000000E-01  0.00000000E+00 -0.63383429E+01  0.12840780E+02 -0.19179123E+02  0.28227333E+00  0.41822138E+00
  0.40000000E-01  0.00000000E+00 -0.74056456E+01  0.13489849E+02 -0.20895495E+02  0.24237224E+00  0.54892751E+00
  0.60000000E-01  0.00000000E+00 -0.95092348E+01  0.17576348E+02 -0.27085583E+02  0.25843061E-02  0.47064058E+00
  0.64000000E-01  0.00000000E+00 -0.10038964E+02  0.18307448E+02 -0.28346412E+02  0.18162415E+00  0.45968955E+00
  0.80000000E-01  0.00000000E+00 -0.11200838E+02  0.20394028E+02 -0.31594866E+02  0.94796151E-01  0.44386266E+00
  0.96000000E-01  0.00000000E+00 -0.12446458E+02  0.22124216E+02 -0.34570673E+02  0.15313601E+00  0.29405495E+00
  0.10000000E+00  0.00000000E+00 -0.12339861E+02  0.22447738E+02 -0.34787599E+02  0.15590837E+00  0.33826082E+00
  0.12000000E+00  0.00000000E+00 -0.13552936E+02  0.24669178E+02 -0.38222115E+02  0.96008434E-01  0.12364333E+00
  0.12800000E+00  0.00000000E+00 -0.13804676E+02  0.25446200E+02 -0.39250876E+02  0.60844602E-01  0.22899078E+00
  0.14000000E+00  0.00000000E+00 -0.14193752E+02  0.26729830E+02 -0.40923583E+02  0.11089745E+00  0.14869100E+00
  0.16000000E+00  0.00000000E+00 -0.14314444E+02  0.28739481E+02 -0.43053925E+02  0.22839281E+00  0.23091399E+00
  0.18000000E+00  0.00000000E+00 -0.14764287E+02  0.30761830E+02 -0.45526116E+02  0.98801311E-01  0.13092863E+00
  0.20000000E+00  0.00000000E+00 -0.14514000E+02  0.32656401E+02 -0.47170401E+02  0.11630126E+00  0.12260756E+00
