#    rho [fm-3]      T [MeV]         mu [MeV]        E/A [MeV]        S_1/A           F/A [MeV]     P [MeV fm-3]
  0.10000000E-01  0.00000000E+00  0.43459235E+01  0.25850924E+01  0.00000000E+00  0.25850924E+01  0.17608311E-01
  0.15000000E-01  0.00000000E+00  0.53604558E+01  0.35262487E+01  0.00000000E+00  0.35262487E+01  0.27513106E-01
  0.20000000E-01  0.00000000E+00  0.66968125E+01  0.41362726E+01  0.00000000E+00  0.41362726E+01  0.51210798E-01
  0.30000000E-01  0.00000000E+00  0.80123887E+01  0.49398604E+01  0.00000000E+00  0.49398604E+01  0.92175849E-01
  0.32000000E-01  0.00000000E+00  0.83936762E+01  0.53204847E+01  0.00000000E+00  0.53204847E+01  0.98342128E-01
  0.40000000E-01  0.00000000E+00  0.95646916E+01  0.62913252E+01  0.00000000E+00  0.62913252E+01  0.13093466E+00
  0.60000000E-01  0.00000000E+00  0.12324462E+02  0.72527659E+01  0.00000000E+00  0.72527659E+01  0.30430176E+00
  0.64000000E-01  0.00000000E+00  0.12807441E+02  0.77478480E+01  0.00000000E+00  0.77478480E+01  0.32381398E+00
  0.80000000E-01  0.00000000E+00  0.15272577E+02  0.93173938E+01  0.00000000E+00  0.93173938E+01  0.47641465E+00
  0.96000000E-01  0.00000000E+00  0.17976245E+02  0.10339071E+02  0.00000000E+00  0.10339071E+02  0.73316870E+00
  0.10000000E+00  0.00000000E+00  0.18737917E+02  0.10778360E+02  0.00000000E+00  0.10778360E+02  0.79595564E+00
  0.12000000E+00  0.00000000E+00  0.22701164E+02  0.12293341E+02  0.00000000E+00  0.12293341E+02  0.12489388E+01
  0.12800000E+00  0.00000000E+00  0.24416021E+02  0.12159705E+02  0.00000000E+00  0.12159705E+02  0.15688084E+01
  0.14000000E+00  0.00000000E+00  0.27095860E+02  0.13039971E+02  0.00000000E+00  0.13039971E+02  0.19678244E+01
  0.16000000E+00  0.00000000E+00  0.31489385E+02  0.15487453E+02  0.00000000E+00  0.15487453E+02  0.25603090E+01
  0.18000000E+00  0.00000000E+00  0.36535720E+02  0.17308818E+02  0.00000000E+00  0.17308818E+02  0.34608423E+01
  0.20000000E+00  0.00000000E+00  0.41852326E+02  0.19416739E+02  0.00000000E+00  0.19416739E+02  0.44871175E+01
  0.24000000E+00  0.00000000E+00  0.52198617E+02  0.22366972E+02  0.00000000E+00  0.22366972E+02  0.71595948E+01
  0.28000000E+00  0.00000000E+00  0.63272413E+02  0.27982135E+02  0.00000000E+00  0.27982135E+02  0.98812777E+01
  0.32000000E+00  0.00000000E+00  0.73666724E+02  0.34157475E+02  0.00000000E+00  0.34157475E+02  0.12642960E+02
  0.36000000E+00  0.00000000E+00  0.84131744E+02  0.38107297E+02  0.00000000E+00  0.38107297E+02  0.16568801E+02
