# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.1485E-06     0.6129E+02     0.2708E+02     0.1782E+00     0.4418E+00     0.0000E+00     0.4126E+09    -0.8403E+01     0.3886E-07    -0.8497E+01    -0.9695E+01
     0.1505E-06     0.6130E+02     0.2708E+02     0.1782E+00     0.4418E+00     0.0000E+00     0.4073E+09    -0.8399E+01     0.3955E-07    -0.8493E+01    -0.9701E+01
     0.1525E-06     0.6132E+02     0.2709E+02     0.1782E+00     0.4417E+00     0.0000E+00     0.4021E+09    -0.8396E+01     0.4026E-07    -0.8489E+01    -0.9707E+01
     0.1545E-06     0.6134E+02     0.2709E+02     0.1782E+00     0.4417E+00     0.0000E+00     0.3969E+09    -0.8393E+01     0.4098E-07    -0.8484E+01    -0.9713E+01
     0.1566E-06     0.6135E+02     0.2709E+02     0.1782E+00     0.4416E+00     0.0000E+00     0.3918E+09    -0.8390E+01     0.4171E-07    -0.8480E+01    -0.9719E+01
     0.1587E-06     0.6137E+02     0.2710E+02     0.1782E+00     0.4415E+00     0.0000E+00     0.3868E+09    -0.8386E+01     0.4245E-07    -0.8475E+01    -0.9725E+01
     0.1608E-06     0.6139E+02     0.2710E+02     0.1782E+00     0.4415E+00     0.0000E+00     0.3818E+09    -0.8383E+01     0.4321E-07    -0.8471E+01    -0.9731E+01
     0.1629E-06     0.6140E+02     0.2710E+02     0.1782E+00     0.4414E+00     0.0000E+00     0.3769E+09    -0.8380E+01     0.4398E-07    -0.8466E+01    -0.9737E+01
     0.1651E-06     0.6142E+02     0.2711E+02     0.1781E+00     0.4413E+00     0.0000E+00     0.3721E+09    -0.8376E+01     0.4477E-07    -0.8461E+01    -0.9744E+01
     0.1673E-06     0.6144E+02     0.2711E+02     0.1781E+00     0.4413E+00     0.0000E+00     0.3673E+09    -0.8373E+01     0.4557E-07    -0.8457E+01    -0.9750E+01
