# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.1880E-04     0.7659E+02     0.2984E+02     0.1738E+00     0.3897E+00     0.0000E+00     0.4073E+07    -0.5612E+01     0.2168E-04    -0.4812E+01    -0.1526E+02
     0.1905E-04     0.7667E+02     0.2986E+02     0.1738E+00     0.3894E+00     0.0000E+00     0.4024E+07    -0.5598E+01     0.2205E-04    -0.4794E+01    -0.1529E+02
     0.1931E-04     0.7676E+02     0.2987E+02     0.1738E+00     0.3891E+00     0.0000E+00     0.3975E+07    -0.5584E+01     0.2242E-04    -0.4776E+01    -0.1533E+02
     0.1956E-04     0.7684E+02     0.2988E+02     0.1738E+00     0.3889E+00     0.0000E+00     0.3928E+07    -0.5570E+01     0.2280E-04    -0.4757E+01    -0.1536E+02
     0.1982E-04     0.7692E+02     0.2989E+02     0.1737E+00     0.3886E+00     0.0000E+00     0.3880E+07    -0.5555E+01     0.2318E-04    -0.4739E+01    -0.1539E+02
     0.2009E-04     0.7701E+02     0.2991E+02     0.1737E+00     0.3883E+00     0.0000E+00     0.3834E+07    -0.5541E+01     0.2357E-04    -0.4721E+01    -0.1542E+02
     0.2035E-04     0.7709E+02     0.2992E+02     0.1737E+00     0.3881E+00     0.0000E+00     0.3788E+07    -0.5527E+01     0.2397E-04    -0.4702E+01    -0.1545E+02
     0.2062E-04     0.7718E+02     0.2993E+02     0.1737E+00     0.3878E+00     0.0000E+00     0.3742E+07    -0.5512E+01     0.2437E-04    -0.4684E+01    -0.1548E+02
     0.2090E-04     0.7727E+02     0.2994E+02     0.1736E+00     0.3875E+00     0.0000E+00     0.3697E+07    -0.5498E+01     0.2478E-04    -0.4665E+01    -0.1551E+02
     0.2118E-04     0.7735E+02     0.2996E+02     0.1736E+00     0.3873E+00     0.0000E+00     0.3653E+07    -0.5483E+01     0.2519E-04    -0.4646E+01    -0.1555E+02
     0.2146E-04     0.7744E+02     0.2997E+02     0.1736E+00     0.3870E+00     0.0000E+00     0.3609E+07    -0.5469E+01     0.2562E-04    -0.4627E+01    -0.1558E+02
     0.2174E-04     0.7753E+02     0.2998E+02     0.1735E+00     0.3867E+00     0.0000E+00     0.3566E+07    -0.5454E+01     0.2605E-04    -0.4609E+01    -0.1561E+02
     0.2203E-04     0.7761E+02     0.2999E+02     0.1735E+00     0.3865E+00     0.0000E+00     0.3523E+07    -0.5439E+01     0.2649E-04    -0.4590E+01    -0.1564E+02
     0.2232E-04     0.7770E+02     0.3001E+02     0.1735E+00     0.3862E+00     0.0000E+00     0.3481E+07    -0.5425E+01     0.2693E-04    -0.4571E+01    -0.1567E+02
     0.2262E-04     0.7779E+02     0.3002E+02     0.1734E+00     0.3859E+00     0.0000E+00     0.3439E+07    -0.5410E+01     0.2738E-04    -0.4552E+01    -0.1571E+02
     0.2292E-04     0.7788E+02     0.3003E+02     0.1734E+00     0.3856E+00     0.0000E+00     0.3398E+07    -0.5395E+01     0.2784E-04    -0.4533E+01    -0.1574E+02
     0.2322E-04     0.7797E+02     0.3004E+02     0.1734E+00     0.3853E+00     0.0000E+00     0.3357E+07    -0.5380E+01     0.2831E-04    -0.4514E+01    -0.1577E+02
     0.2353E-04     0.7806E+02     0.3006E+02     0.1734E+00     0.3851E+00     0.0000E+00     0.3317E+07    -0.5365E+01     0.2878E-04    -0.4494E+01    -0.1581E+02
     0.2384E-04     0.7815E+02     0.3007E+02     0.1733E+00     0.3848E+00     0.0000E+00     0.3277E+07    -0.5350E+01     0.2927E-04    -0.4475E+01    -0.1584E+02
     0.2416E-04     0.7824E+02     0.3008E+02     0.1733E+00     0.3845E+00     0.0000E+00     0.3238E+07    -0.5335E+01     0.2976E-04    -0.4456E+01    -0.1587E+02
     0.2448E-04     0.7833E+02     0.3009E+02     0.1733E+00     0.3842E+00     0.0000E+00     0.3199E+07    -0.5320E+01     0.3026E-04    -0.4437E+01    -0.1591E+02
     0.2481E-04     0.7842E+02     0.3011E+02     0.1732E+00     0.3839E+00     0.0000E+00     0.3161E+07    -0.5305E+01     0.3076E-04    -0.4417E+01    -0.1594E+02
     0.2514E-04     0.7851E+02     0.3012E+02     0.1732E+00     0.3837E+00     0.0000E+00     0.3123E+07    -0.5290E+01     0.3128E-04    -0.4398E+01    -0.1597E+02
     0.2547E-04     0.7860E+02     0.3013E+02     0.1732E+00     0.3834E+00     0.0000E+00     0.3086E+07    -0.5274E+01     0.3180E-04    -0.4378E+01    -0.1601E+02
     0.2581E-04     0.7869E+02     0.3015E+02     0.1731E+00     0.3831E+00     0.0000E+00     0.3049E+07    -0.5259E+01     0.3234E-04    -0.4359E+01    -0.1604E+02
     0.2615E-04     0.7878E+02     0.3016E+02     0.1731E+00     0.3828E+00     0.0000E+00     0.3013E+07    -0.5244E+01     0.3288E-04    -0.4339E+01    -0.1607E+02
     0.2650E-04     0.7888E+02     0.3017E+02     0.1731E+00     0.3825E+00     0.0000E+00     0.2977E+07    -0.5228E+01     0.3343E-04    -0.4319E+01    -0.1611E+02
     0.2685E-04     0.7897E+02     0.3018E+02     0.1731E+00     0.3822E+00     0.0000E+00     0.2941E+07    -0.5213E+01     0.3399E-04    -0.4299E+01    -0.1614E+02
     0.2721E-04     0.7906E+02     0.3020E+02     0.1730E+00     0.3819E+00     0.0000E+00     0.2906E+07    -0.5197E+01     0.3456E-04    -0.4279E+01    -0.1618E+02
     0.2757E-04     0.7916E+02     0.3021E+02     0.1730E+00     0.3817E+00     0.0000E+00     0.2871E+07    -0.5182E+01     0.3513E-04    -0.4260E+01    -0.1621E+02
     0.2793E-04     0.7925E+02     0.3022E+02     0.1730E+00     0.3814E+00     0.0000E+00     0.2837E+07    -0.5166E+01     0.3572E-04    -0.4240E+01    -0.1625E+02
     0.2830E-04     0.7934E+02     0.3024E+02     0.1729E+00     0.3811E+00     0.0000E+00     0.2803E+07    -0.5151E+01     0.3632E-04    -0.4220E+01    -0.1628E+02
     0.2868E-04     0.7944E+02     0.3025E+02     0.1729E+00     0.3808E+00     0.0000E+00     0.2770E+07    -0.5135E+01     0.3693E-04    -0.4199E+01    -0.1632E+02
     0.2906E-04     0.7953E+02     0.3026E+02     0.1729E+00     0.3805E+00     0.0000E+00     0.2737E+07    -0.5119E+01     0.3754E-04    -0.4179E+01    -0.1635E+02
     0.2945E-04     0.7963E+02     0.3027E+02     0.1728E+00     0.3802E+00     0.0000E+00     0.2704E+07    -0.5103E+01     0.3817E-04    -0.4159E+01    -0.1639E+02
     0.2984E-04     0.7973E+02     0.3029E+02     0.1728E+00     0.3799E+00     0.0000E+00     0.2672E+07    -0.5087E+01     0.3881E-04    -0.4139E+01    -0.1642E+02
     0.3023E-04     0.7982E+02     0.3030E+02     0.1728E+00     0.3796E+00     0.0000E+00     0.2640E+07    -0.5072E+01     0.3946E-04    -0.4118E+01    -0.1646E+02
     0.3064E-04     0.7992E+02     0.3031E+02     0.1727E+00     0.3793E+00     0.0000E+00     0.2609E+07    -0.5056E+01     0.4011E-04    -0.4098E+01    -0.1650E+02
     0.3104E-04     0.8002E+02     0.3033E+02     0.1727E+00     0.3790E+00     0.0000E+00     0.2578E+07    -0.5040E+01     0.4078E-04    -0.4078E+01    -0.1653E+02
     0.3145E-04     0.8012E+02     0.3034E+02     0.1727E+00     0.3787E+00     0.0000E+00     0.2547E+07    -0.5023E+01     0.4146E-04    -0.4057E+01    -0.1657E+02
     0.3187E-04     0.8021E+02     0.3035E+02     0.1726E+00     0.3784E+00     0.0000E+00     0.2517E+07    -0.5007E+01     0.4216E-04    -0.4036E+01    -0.1660E+02
     0.3230E-04     0.8031E+02     0.3037E+02     0.1726E+00     0.3781E+00     0.0000E+00     0.2487E+07    -0.4991E+01     0.4286E-04    -0.4016E+01    -0.1664E+02
     0.3272E-04     0.8041E+02     0.3038E+02     0.1726E+00     0.3778E+00     0.0000E+00     0.2457E+07    -0.4975E+01     0.4357E-04    -0.3995E+01    -0.1668E+02
     0.3316E-04     0.8051E+02     0.3039E+02     0.1725E+00     0.3775E+00     0.0000E+00     0.2428E+07    -0.4959E+01     0.4430E-04    -0.3974E+01    -0.1672E+02
     0.3360E-04     0.8061E+02     0.3041E+02     0.1725E+00     0.3772E+00     0.0000E+00     0.2399E+07    -0.4942E+01     0.4504E-04    -0.3953E+01    -0.1675E+02
     0.3405E-04     0.8071E+02     0.3042E+02     0.1724E+00     0.3769E+00     0.0000E+00     0.2371E+07    -0.4926E+01     0.4579E-04    -0.3932E+01    -0.1679E+02
     0.3450E-04     0.8081E+02     0.3043E+02     0.1724E+00     0.3766E+00     0.0000E+00     0.2343E+07    -0.4909E+01     0.4655E-04    -0.3912E+01    -0.1683E+02
     0.3496E-04     0.8091E+02     0.3044E+02     0.1724E+00     0.3763E+00     0.0000E+00     0.2315E+07    -0.4893E+01     0.4732E-04    -0.3890E+01    -0.1686E+02
     0.3542E-04     0.8101E+02     0.3046E+02     0.1723E+00     0.3760E+00     0.0000E+00     0.2287E+07    -0.4876E+01     0.4811E-04    -0.3869E+01    -0.1690E+02
     0.3589E-04     0.8112E+02     0.3047E+02     0.1723E+00     0.3757E+00     0.0000E+00     0.2260E+07    -0.4860E+01     0.4891E-04    -0.3848E+01    -0.1694E+02
     0.3637E-04     0.8122E+02     0.3048E+02     0.1723E+00     0.3753E+00     0.0000E+00     0.2233E+07    -0.4843E+01     0.4973E-04    -0.3827E+01    -0.1698E+02
     0.3685E-04     0.8132E+02     0.3050E+02     0.1722E+00     0.3750E+00     0.0000E+00     0.2207E+07    -0.4826E+01     0.5055E-04    -0.3806E+01    -0.1702E+02
     0.3734E-04     0.8142E+02     0.3051E+02     0.1722E+00     0.3747E+00     0.0000E+00     0.2181E+07    -0.4809E+01     0.5139E-04    -0.3784E+01    -0.1705E+02
     0.3783E-04     0.8153E+02     0.3052E+02     0.1722E+00     0.3744E+00     0.0000E+00     0.2155E+07    -0.4793E+01     0.5225E-04    -0.3763E+01    -0.1709E+02
     0.3834E-04     0.8163E+02     0.3054E+02     0.1721E+00     0.3741E+00     0.0000E+00     0.2129E+07    -0.4776E+01     0.5311E-04    -0.3741E+01    -0.1713E+02
     0.3885E-04     0.8174E+02     0.3055E+02     0.1721E+00     0.3738E+00     0.0000E+00     0.2104E+07    -0.4759E+01     0.5400E-04    -0.3720E+01    -0.1717E+02
     0.3936E-04     0.8184E+02     0.3056E+02     0.1720E+00     0.3735E+00     0.0000E+00     0.2079E+07    -0.4742E+01     0.5489E-04    -0.3698E+01    -0.1721E+02
     0.3988E-04     0.8195E+02     0.3058E+02     0.1720E+00     0.3731E+00     0.0000E+00     0.2055E+07    -0.4725E+01     0.5580E-04    -0.3677E+01    -0.1725E+02
     0.4041E-04     0.8205E+02     0.3059E+02     0.1720E+00     0.3728E+00     0.0000E+00     0.2030E+07    -0.4708E+01     0.5673E-04    -0.3655E+01    -0.1729E+02
     0.4095E-04     0.8216E+02     0.3060E+02     0.1719E+00     0.3725E+00     0.0000E+00     0.2006E+07    -0.4690E+01     0.5767E-04    -0.3633E+01    -0.1733E+02
     0.4149E-04     0.8227E+02     0.3062E+02     0.1719E+00     0.3722E+00     0.0000E+00     0.1983E+07    -0.4673E+01     0.5863E-04    -0.3611E+01    -0.1737E+02
     0.4205E-04     0.8237E+02     0.3063E+02     0.1719E+00     0.3719E+00     0.0000E+00     0.1959E+07    -0.4656E+01     0.5960E-04    -0.3589E+01    -0.1741E+02
     0.4260E-04     0.8248E+02     0.3064E+02     0.1718E+00     0.3715E+00     0.0000E+00     0.1936E+07    -0.4639E+01     0.6059E-04    -0.3567E+01    -0.1745E+02
     0.4317E-04     0.8259E+02     0.3066E+02     0.1718E+00     0.3712E+00     0.0000E+00     0.1913E+07    -0.4621E+01     0.6159E-04    -0.3545E+01    -0.1749E+02
     0.4374E-04     0.8270E+02     0.3067E+02     0.1717E+00     0.3709E+00     0.0000E+00     0.1891E+07    -0.4604E+01     0.6261E-04    -0.3523E+01    -0.1753E+02
     0.4432E-04     0.8280E+02     0.3068E+02     0.1717E+00     0.3706E+00     0.0000E+00     0.1868E+07    -0.4586E+01     0.6365E-04    -0.3501E+01    -0.1757E+02
     0.4491E-04     0.8291E+02     0.3070E+02     0.1717E+00     0.3702E+00     0.0000E+00     0.1846E+07    -0.4569E+01     0.6470E-04    -0.3479E+01    -0.1761E+02
     0.4551E-04     0.8302E+02     0.3071E+02     0.1716E+00     0.3699E+00     0.0000E+00     0.1824E+07    -0.4551E+01     0.6577E-04    -0.3456E+01    -0.1765E+02
     0.4611E-04     0.8313E+02     0.3072E+02     0.1716E+00     0.3696E+00     0.0000E+00     0.1803E+07    -0.4533E+01     0.6686E-04    -0.3434E+01    -0.1769E+02
     0.4672E-04     0.8324E+02     0.3074E+02     0.1715E+00     0.3692E+00     0.0000E+00     0.1782E+07    -0.4516E+01     0.6797E-04    -0.3412E+01    -0.1773E+02
     0.4735E-04     0.8336E+02     0.3075E+02     0.1715E+00     0.3689E+00     0.0000E+00     0.1761E+07    -0.4498E+01     0.6909E-04    -0.3389E+01    -0.1778E+02
     0.4797E-04     0.8347E+02     0.3076E+02     0.1715E+00     0.3686E+00     0.0000E+00     0.1740E+07    -0.4480E+01     0.7023E-04    -0.3366E+01    -0.1782E+02
     0.4861E-04     0.8358E+02     0.3078E+02     0.1714E+00     0.3682E+00     0.0000E+00     0.1719E+07    -0.4462E+01     0.7139E-04    -0.3344E+01    -0.1786E+02
     0.4926E-04     0.8369E+02     0.3079E+02     0.1714E+00     0.3679E+00     0.0000E+00     0.1699E+07    -0.4444E+01     0.7257E-04    -0.3321E+01    -0.1790E+02
     0.4991E-04     0.8381E+02     0.3080E+02     0.1713E+00     0.3676E+00     0.0000E+00     0.1679E+07    -0.4426E+01     0.7377E-04    -0.3298E+01    -0.1794E+02
     0.5057E-04     0.8392E+02     0.3082E+02     0.1713E+00     0.3672E+00     0.0000E+00     0.1659E+07    -0.4408E+01     0.7499E-04    -0.3275E+01    -0.1799E+02
     0.5124E-04     0.8403E+02     0.3083E+02     0.1713E+00     0.3669E+00     0.0000E+00     0.1640E+07    -0.4390E+01     0.7623E-04    -0.3253E+01    -0.1803E+02
     0.5193E-04     0.8415E+02     0.3085E+02     0.1712E+00     0.3666E+00     0.0000E+00     0.1621E+07    -0.4372E+01     0.7748E-04    -0.3230E+01    -0.1807E+02
     0.5261E-04     0.8426E+02     0.3086E+02     0.1712E+00     0.3662E+00     0.0000E+00     0.1601E+07    -0.4353E+01     0.7876E-04    -0.3207E+01    -0.1811E+02
     0.5331E-04     0.8438E+02     0.3087E+02     0.1711E+00     0.3659E+00     0.0000E+00     0.1583E+07    -0.4335E+01     0.8006E-04    -0.3184E+01    -0.1816E+02
     0.5402E-04     0.8449E+02     0.3089E+02     0.1711E+00     0.3655E+00     0.0000E+00     0.1564E+07    -0.4317E+01     0.8138E-04    -0.3160E+01    -0.1820E+02
     0.5474E-04     0.8461E+02     0.3090E+02     0.1710E+00     0.3652E+00     0.0000E+00     0.1546E+07    -0.4298E+01     0.8272E-04    -0.3137E+01    -0.1824E+02
     0.5547E-04     0.8473E+02     0.3091E+02     0.1710E+00     0.3649E+00     0.0000E+00     0.1528E+07    -0.4280E+01     0.8408E-04    -0.3114E+01    -0.1829E+02
     0.5620E-04     0.8484E+02     0.3093E+02     0.1710E+00     0.3645E+00     0.0000E+00     0.1510E+07    -0.4261E+01     0.8547E-04    -0.3090E+01    -0.1833E+02
     0.5695E-04     0.8496E+02     0.3094E+02     0.1709E+00     0.3642E+00     0.0000E+00     0.1492E+07    -0.4243E+01     0.8688E-04    -0.3067E+01    -0.1838E+02
     0.5770E-04     0.8508E+02     0.3095E+02     0.1709E+00     0.3638E+00     0.0000E+00     0.1474E+07    -0.4224E+01     0.8831E-04    -0.3044E+01    -0.1842E+02
     0.5847E-04     0.8520E+02     0.3097E+02     0.1708E+00     0.3635E+00     0.0000E+00     0.1457E+07    -0.4205E+01     0.8976E-04    -0.3020E+01    -0.1846E+02
     0.5925E-04     0.8532E+02     0.3098E+02     0.1708E+00     0.3631E+00     0.0000E+00     0.1440E+07    -0.4187E+01     0.9124E-04    -0.2996E+01    -0.1851E+02
     0.6003E-04     0.8544E+02     0.3099E+02     0.1707E+00     0.3628E+00     0.0000E+00     0.1423E+07    -0.4168E+01     0.9274E-04    -0.2973E+01    -0.1855E+02
     0.6083E-04     0.8556E+02     0.3101E+02     0.1707E+00     0.3624E+00     0.0000E+00     0.1406E+07    -0.4149E+01     0.9426E-04    -0.2949E+01    -0.1860E+02
     0.6164E-04     0.8568E+02     0.3102E+02     0.1706E+00     0.3621E+00     0.0000E+00     0.1390E+07    -0.4130E+01     0.9581E-04    -0.2925E+01    -0.1864E+02
     0.6246E-04     0.8580E+02     0.3103E+02     0.1706E+00     0.3617E+00     0.0000E+00     0.1374E+07    -0.4111E+01     0.9738E-04    -0.2901E+01    -0.1869E+02
     0.6329E-04     0.8592E+02     0.3105E+02     0.1706E+00     0.3614E+00     0.0000E+00     0.1358E+07    -0.4092E+01     0.9898E-04    -0.2877E+01    -0.1873E+02
     0.6413E-04     0.8604E+02     0.3106E+02     0.1705E+00     0.3610E+00     0.0000E+00     0.1342E+07    -0.4073E+01     0.1006E-03    -0.2853E+01    -0.1878E+02
     0.6498E-04     0.8616E+02     0.3107E+02     0.1705E+00     0.3606E+00     0.0000E+00     0.1326E+07    -0.4054E+01     0.1023E-03    -0.2829E+01    -0.1883E+02
     0.6584E-04     0.8629E+02     0.3109E+02     0.1704E+00     0.3603E+00     0.0000E+00     0.1311E+07    -0.4035E+01     0.1039E-03    -0.2805E+01    -0.1887E+02
     0.6671E-04     0.8641E+02     0.3110E+02     0.1704E+00     0.3599E+00     0.0000E+00     0.1295E+07    -0.4015E+01     0.1056E-03    -0.2781E+01    -0.1892E+02
     0.6760E-04     0.8653E+02     0.3112E+02     0.1703E+00     0.3596E+00     0.0000E+00     0.1280E+07    -0.3996E+01     0.1074E-03    -0.2757E+01    -0.1897E+02
     0.6850E-04     0.8666E+02     0.3113E+02     0.1703E+00     0.3592E+00     0.0000E+00     0.1265E+07    -0.3977E+01     0.1091E-03    -0.2732E+01    -0.1901E+02
     0.6941E-04     0.8678E+02     0.3114E+02     0.1702E+00     0.3588E+00     0.0000E+00     0.1250E+07    -0.3957E+01     0.1109E-03    -0.2708E+01    -0.1906E+02
     0.7033E-04     0.8691E+02     0.3116E+02     0.1702E+00     0.3585E+00     0.0000E+00     0.1236E+07    -0.3938E+01     0.1127E-03    -0.2684E+01    -0.1911E+02
     0.7126E-04     0.8704E+02     0.3117E+02     0.1701E+00     0.3581E+00     0.0000E+00     0.1221E+07    -0.3918E+01     0.1146E-03    -0.2659E+01    -0.1915E+02
     0.7221E-04     0.8716E+02     0.3118E+02     0.1701E+00     0.3578E+00     0.0000E+00     0.1207E+07    -0.3898E+01     0.1165E-03    -0.2634E+01    -0.1920E+02
     0.7317E-04     0.8729E+02     0.3120E+02     0.1700E+00     0.3574E+00     0.0000E+00     0.1193E+07    -0.3879E+01     0.1184E-03    -0.2610E+01    -0.1925E+02
     0.7414E-04     0.8742E+02     0.3121E+02     0.1700E+00     0.3570E+00     0.0000E+00     0.1179E+07    -0.3859E+01     0.1203E-03    -0.2585E+01    -0.1930E+02
     0.7512E-04     0.8754E+02     0.3122E+02     0.1699E+00     0.3567E+00     0.0000E+00     0.1165E+07    -0.3839E+01     0.1223E-03    -0.2560E+01    -0.1935E+02
     0.7612E-04     0.8767E+02     0.3124E+02     0.1699E+00     0.3563E+00     0.0000E+00     0.1152E+07    -0.3819E+01     0.1243E-03    -0.2535E+01    -0.1939E+02
     0.7713E-04     0.8780E+02     0.3125E+02     0.1698E+00     0.3559E+00     0.0000E+00     0.1138E+07    -0.3799E+01     0.1263E-03    -0.2510E+01    -0.1944E+02
     0.7816E-04     0.8793E+02     0.3126E+02     0.1698E+00     0.3555E+00     0.0000E+00     0.1125E+07    -0.3779E+01     0.1284E-03    -0.2485E+01    -0.1949E+02
     0.7919E-04     0.8806E+02     0.3128E+02     0.1697E+00     0.3552E+00     0.0000E+00     0.1112E+07    -0.3759E+01     0.1304E-03    -0.2460E+01    -0.1954E+02
     0.8025E-04     0.8819E+02     0.3129E+02     0.1697E+00     0.3548E+00     0.0000E+00     0.1099E+07    -0.3739E+01     0.1326E-03    -0.2435E+01    -0.1959E+02
     0.8131E-04     0.8832E+02     0.3130E+02     0.1696E+00     0.3544E+00     0.0000E+00     0.1086E+07    -0.3719E+01     0.1347E-03    -0.2410E+01    -0.1964E+02
     0.8239E-04     0.8846E+02     0.3132E+02     0.1696E+00     0.3540E+00     0.0000E+00     0.1074E+07    -0.3699E+01     0.1369E-03    -0.2385E+01    -0.1969E+02
     0.8348E-04     0.8859E+02     0.3133E+02     0.1695E+00     0.3537E+00     0.0000E+00     0.1061E+07    -0.3678E+01     0.1392E-03    -0.2360E+01    -0.1974E+02
     0.8459E-04     0.8872E+02     0.3134E+02     0.1695E+00     0.3533E+00     0.0000E+00     0.1049E+07    -0.3658E+01     0.1414E-03    -0.2334E+01    -0.1979E+02
     0.8572E-04     0.8885E+02     0.3136E+02     0.1694E+00     0.3529E+00     0.0000E+00     0.1037E+07    -0.3638E+01     0.1437E-03    -0.2309E+01    -0.1984E+02
     0.8685E-04     0.8899E+02     0.3137E+02     0.1694E+00     0.3525E+00     0.0000E+00     0.1025E+07    -0.3617E+01     0.1461E-03    -0.2283E+01    -0.1989E+02
     0.8801E-04     0.8912E+02     0.3138E+02     0.1693E+00     0.3521E+00     0.0000E+00     0.1013E+07    -0.3597E+01     0.1485E-03    -0.2258E+01    -0.1994E+02
     0.8918E-04     0.8926E+02     0.3140E+02     0.1693E+00     0.3518E+00     0.0000E+00     0.1001E+07    -0.3576E+01     0.1509E-03    -0.2232E+01    -0.1999E+02
     0.9036E-04     0.8939E+02     0.3141E+02     0.1692E+00     0.3514E+00     0.0000E+00     0.9893E+06    -0.3555E+01     0.1533E-03    -0.2206E+01    -0.2004E+02
     0.9156E-04     0.8953E+02     0.3142E+02     0.1692E+00     0.3510E+00     0.0000E+00     0.9778E+06    -0.3535E+01     0.1558E-03    -0.2180E+01    -0.2009E+02
     0.9278E-04     0.8967E+02     0.3144E+02     0.1691E+00     0.3506E+00     0.0000E+00     0.9665E+06    -0.3514E+01     0.1584E-03    -0.2155E+01    -0.2015E+02
     0.9401E-04     0.8980E+02     0.3145E+02     0.1691E+00     0.3502E+00     0.0000E+00     0.9553E+06    -0.3493E+01     0.1609E-03    -0.2129E+01    -0.2020E+02
     0.9526E-04     0.8994E+02     0.3146E+02     0.1690E+00     0.3498E+00     0.0000E+00     0.9442E+06    -0.3472E+01     0.1635E-03    -0.2103E+01    -0.2025E+02
     0.9652E-04     0.9008E+02     0.3148E+02     0.1689E+00     0.3494E+00     0.0000E+00     0.9332E+06    -0.3451E+01     0.1662E-03    -0.2077E+01    -0.2030E+02
     0.9780E-04     0.9022E+02     0.3149E+02     0.1689E+00     0.3490E+00     0.0000E+00     0.9224E+06    -0.3430E+01     0.1689E-03    -0.2051E+01    -0.2035E+02
     0.9910E-04     0.9036E+02     0.3150E+02     0.1688E+00     0.3487E+00     0.0000E+00     0.9118E+06    -0.3409E+01     0.1716E-03    -0.2024E+01    -0.2041E+02
     0.1004E-03     0.9050E+02     0.3152E+02     0.1688E+00     0.3483E+00     0.0000E+00     0.9012E+06    -0.3388E+01     0.1744E-03    -0.1998E+01    -0.2046E+02
     0.1018E-03     0.9064E+02     0.3153E+02     0.1687E+00     0.3479E+00     0.0000E+00     0.8908E+06    -0.3367E+01     0.1772E-03    -0.1972E+01    -0.2051E+02
     0.1031E-03     0.9078E+02     0.3154E+02     0.1687E+00     0.3475E+00     0.0000E+00     0.8805E+06    -0.3346E+01     0.1801E-03    -0.1946E+01    -0.2057E+02
     0.1045E-03     0.9092E+02     0.3156E+02     0.1686E+00     0.3471E+00     0.0000E+00     0.8703E+06    -0.3324E+01     0.1830E-03    -0.1919E+01    -0.2062E+02
     0.1059E-03     0.9106E+02     0.3157E+02     0.1686E+00     0.3467E+00     0.0000E+00     0.8602E+06    -0.3303E+01     0.1860E-03    -0.1893E+01    -0.2067E+02
     0.1073E-03     0.9120E+02     0.3158E+02     0.1685E+00     0.3463E+00     0.0000E+00     0.8503E+06    -0.3282E+01     0.1890E-03    -0.1866E+01    -0.2073E+02
     0.1087E-03     0.9135E+02     0.3159E+02     0.1684E+00     0.3459E+00     0.0000E+00     0.8404E+06    -0.3260E+01     0.1921E-03    -0.1839E+01    -0.2078E+02
     0.1101E-03     0.9149E+02     0.3161E+02     0.1684E+00     0.3455E+00     0.0000E+00     0.8307E+06    -0.3239E+01     0.1952E-03    -0.1813E+01    -0.2084E+02
     0.1116E-03     0.9163E+02     0.3162E+02     0.1683E+00     0.3451E+00     0.0000E+00     0.8211E+06    -0.3217E+01     0.1983E-03    -0.1786E+01    -0.2089E+02
     0.1131E-03     0.9178E+02     0.3163E+02     0.1683E+00     0.3447E+00     0.0000E+00     0.8117E+06    -0.3195E+01     0.2015E-03    -0.1759E+01    -0.2095E+02
     0.1146E-03     0.9193E+02     0.3165E+02     0.1682E+00     0.3443E+00     0.0000E+00     0.8023E+06    -0.3174E+01     0.2048E-03    -0.1732E+01    -0.2100E+02
     0.1161E-03     0.9207E+02     0.3166E+02     0.1681E+00     0.3439E+00     0.0000E+00     0.7930E+06    -0.3152E+01     0.2081E-03    -0.1705E+01    -0.2106E+02
     0.1176E-03     0.9222E+02     0.3167E+02     0.1681E+00     0.3435E+00     0.0000E+00     0.7839E+06    -0.3130E+01     0.2115E-03    -0.1678E+01    -0.2111E+02
     0.1192E-03     0.9237E+02     0.3169E+02     0.1680E+00     0.3430E+00     0.0000E+00     0.7749E+06    -0.3108E+01     0.2149E-03    -0.1651E+01    -0.2117E+02
     0.1208E-03     0.9251E+02     0.3170E+02     0.1680E+00     0.3426E+00     0.0000E+00     0.7659E+06    -0.3086E+01     0.2183E-03    -0.1624E+01    -0.2123E+02
     0.1224E-03     0.9266E+02     0.3171E+02     0.1679E+00     0.3422E+00     0.0000E+00     0.7571E+06    -0.3064E+01     0.2219E-03    -0.1597E+01    -0.2128E+02
     0.1240E-03     0.9281E+02     0.3172E+02     0.1678E+00     0.3418E+00     0.0000E+00     0.7484E+06    -0.3042E+01     0.2254E-03    -0.1570E+01    -0.2134E+02
     0.1257E-03     0.9296E+02     0.3174E+02     0.1678E+00     0.3414E+00     0.0000E+00     0.7398E+06    -0.3020E+01     0.2291E-03    -0.1542E+01    -0.2140E+02
     0.1273E-03     0.9311E+02     0.3175E+02     0.1677E+00     0.3410E+00     0.0000E+00     0.7313E+06    -0.2997E+01     0.2328E-03    -0.1515E+01    -0.2145E+02
     0.1290E-03     0.9326E+02     0.3176E+02     0.1677E+00     0.3406E+00     0.0000E+00     0.7228E+06    -0.2975E+01     0.2365E-03    -0.1487E+01    -0.2151E+02
