#    rho [fm-3]      T [MeV]       E_TOT/A [MeV]   E_KIN/A [MeV]   E_POT/A [MeV]
  0.20000000E-01  0.00000000E+00  0.41657809E+01  0.96825377E+01 -0.55167568E+01  0.17118476E+00  0.23202281E+00
  0.30000000E-01  0.00000000E+00  0.50216893E+01  0.12447897E+02 -0.74262080E+01  0.38330311E+00  0.29402864E+00
  0.32000000E-01  0.00000000E+00  0.53530691E+01  0.13029864E+02 -0.76767950E+01  0.22966292E+00  0.22770640E+00
  0.40000000E-01  0.00000000E+00  0.64216991E+01  0.15043028E+02 -0.86213289E+01  0.15829508E+00  0.16649694E+00
  0.60000000E-01  0.00000000E+00  0.73335035E+01  0.19341325E+02 -0.12007822E+02  0.31392981E+00  0.22579378E-01
  0.64000000E-01  0.00000000E+00  0.77906989E+01  0.20164171E+02 -0.12373472E+02  0.36318291E+00  0.26526393E+00
  0.80000000E-01  0.00000000E+00  0.92962529E+01  0.23372601E+02 -0.14076348E+02  0.12002559E+00  0.37018091E+00
  0.96000000E-01  0.00000000E+00  0.10404343E+02  0.26271600E+02 -0.15867258E+02  0.30503521E-01  0.93634841E-01
  0.10000000E+00  0.00000000E+00  0.10879062E+02  0.27055519E+02 -0.16176457E+02  0.76113627E-01  0.22271940E+00
  0.12000000E+00  0.00000000E+00  0.12282901E+02  0.30529203E+02 -0.18246303E+02  0.86787541E-01  0.21396893E+00
  0.12800000E+00  0.00000000E+00  0.12165178E+02  0.31903869E+02 -0.19738691E+02  0.66569231E+00  0.68935687E-01
  0.14000000E+00  0.00000000E+00  0.13039971E+02  0.33895409E+02 -0.20855438E+02  0.78253098E+00  0.11951527E+00
  0.16000000E+00  0.00000000E+00  0.14912759E+02  0.36918290E+02 -0.22005531E+02  0.82559068E+00  0.16839848E+00
  0.18000000E+00  0.00000000E+00  0.17308818E+02  0.39915624E+02 -0.22606805E+02  0.21365357E+00  0.35554315E-01
  0.20000000E+00  0.00000000E+00  0.19416739E+02  0.42880607E+02 -0.23463869E+02  0.19032138E+00  0.55451658E-02
  0.24000000E+00  0.00000000E+00  0.22366972E+02  0.48367291E+02 -0.26000319E+02  0.14946694E+01  0.19756319E+00
  0.28000000E+00  0.00000000E+00  0.27982135E+02  0.53905147E+02 -0.25923012E+02  0.40852900E+00  0.12524215E+00
  0.32000000E+00  0.00000000E+00  0.34157475E+02  0.59182012E+02 -0.25024537E+02  0.58623950E+00  0.78688057E+00
  0.36000000E+00  0.00000000E+00  0.38107297E+02  0.64443022E+02 -0.26335724E+02  0.35768921E+00  0.94990033E+00
