# NM
# From S. Elhatisari, L. Bovermann, Y.-Z. Ma et al., Nature 630, 59 (2024)
# den (fm-3), E (MeV)  E_err
0.0179    51.41   0.76
0.0359   169.90   3.50 
0.0538   267.30   4.30
0.0846   613.10   4.40
0.1025   999.00   8.00

