# obs M sigma+ sigma- refKey
1, 1.970, 0.040, 0.040, Demorest:2010
2, 1.928, 0.017, 0.017, Fonseca:2016
3, 1.908, 0.016, 0.016, Arzoumanian:2018
4, 1.922, 0.015, 0.015, Alam:2021
5, 1.937, 0.014, 0.014, Agazie:2023
